year,month,date,temperature,specific humidity,relative humidity,surface pressure,wind speed,wind direction,rainfall
2001,2,7,27.85,11.72,51.44,99.08,1.63,163.31,0
2001,2,8,27.53,11.29,51.81,99.14,2.38,170.81,0
2001,2,9,27.13,12.82,59,99.27,2.12,227.88,0
2001,2,10,26.5,11.78,55.69,99.27,2.24,252.75,0
2001,2,11,26.65,12.33,59.62,99.11,2.74,228.12,0
2001,2,12,27.15,10.31,48.25,99.09,2.38,174.81,0
2001,2,13,27.33,14.16,64.56,99.17,2.26,245.5,0
2001,2,14,27.51,14.4,64.62,99.13,2.45,255.88,0
2001,2,15,27.12,13.67,62.44,99.18,2.51,224.94,0
2001,2,16,27.02,12.94,59.62,99.27,2.75,279.38,0
2001,2,17,27.27,11.9,54.56,99.26,2.87,227.69,0
2001,2,18,27.48,12.45,55.56,99.24,2.57,236.06,0
2001,2,19,27.84,12.94,57.44,99.29,2.81,264.38,0
2001,2,20,28.12,13.37,58.44,99.25,3.25,267.38,0
2001,2,21,27.85,14.22,62.62,99.09,2.8,246,0
2001,2,22,28.12,15.32,66.06,99.12,2.99,314.19,0
2001,2,23,28.17,15.69,67.31,99.15,2.22,266.75,0
2001,2,24,28.48,16.36,68.81,99.21,2.23,227.5,0
2001,2,25,28.26,15.87,67.12,99.12,2.73,297.12,0.01
2001,2,26,27.57,14.71,65,99.11,2.97,287.12,0
2001,2,27,27.6,13.85,62,99.2,3.01,289.31,0
2001,2,28,27.83,14.22,62.25,99.32,2.7,269.38,0
2001,3,1,28.55,13.92,58.94,99.36,2.65,202.06,0
2001,3,2,28.37,13.67,58.38,99.35,2.48,210.88,0
2001,3,3,28.23,13.12,56.88,99.33,2.58,192.56,0
2001,3,4,28.11,14.4,61.94,99.41,2.48,260.94,0.01
2001,3,5,28.62,14.04,59,99.29,3.08,251,0
2001,3,6,28.09,13.85,59.62,99.28,3.05,277.44,0
2001,3,7,28.76,12.39,52.81,99.23,3.6,259.06,0
2001,3,8,27.87,11.54,51.06,99.19,3.15,238.25,0
2001,3,9,27.06,13,59.25,99.28,2.82,310.31,0
2001,3,10,27.49,13.49,60.06,99.28,2.52,238.25,0
2001,3,11,27.65,13.85,61.12,99.33,2.94,276.81,0
2001,3,12,28.18,14.53,62.06,99.23,3.09,277.12,0.01
2001,3,13,27.9,13.92,60.62,99.2,3.16,291.44,0
2001,3,14,28.03,14.16,61.06,99.19,2.84,257.88,0
2001,3,15,28.65,14.95,61.5,99.31,2.48,305.94,0
2001,3,16,28.91,14.1,57.88,99.21,3.39,278.38,0.01
2001,3,17,29.39,13.67,55.31,99.02,3.26,271.75,0
2001,3,18,29.37,15.01,59.62,99.02,2.55,280.12,0
2001,3,19,29.5,15.32,60.19,99.21,2.38,285.06,0
2001,3,20,28.85,14.59,60,99.17,2.79,270.94,0
2001,3,21,28.46,15.32,63.75,99.02,2.94,305.06,0.02
2001,3,22,28.9,14.89,60.88,98.91,3.96,320.25,0
2001,3,23,29.02,13.73,56.81,98.9,4.04,326.12,0
2001,3,24,28.75,14.34,60.25,98.93,4.3,322.19,0
2001,3,25,28.26,14.4,61.75,98.96,3.75,293.19,0
2001,3,26,27.88,15.32,66.19,98.96,3.52,306.56,0
2001,3,27,28.23,15.26,64.69,98.94,3.74,308.81,0
2001,3,28,28.94,15.5,63.56,98.9,3.75,314.06,0
2001,3,29,28.67,15.32,63.81,98.83,3.44,313.88,0
2001,3,30,28.02,15.01,64.31,99,3.03,306.44,0.01
2001,3,31,28.84,13.67,57.19,99.09,3.86,307.06,0
2001,4,1,29.09,13.43,55.69,99.02,3.51,317.75,0
2001,4,2,28.75,15.5,63.81,98.95,2.83,301.38,0.15
2001,4,3,28.87,15.38,62.5,99,2.16,266.69,0.2
2001,4,4,29.81,15.62,60.94,99.04,2.59,264,0.01
2001,4,5,29.53,16.36,63.88,99.05,2.11,251.94,0.06
2001,4,6,29.12,17.03,67.75,99.09,2.08,245.81,0.94
2001,4,7,29.44,16.85,66.69,99.23,2.24,287.31,0.43
2001,4,8,27.53,18.25,78.81,99.15,1.7,272.38,22.97
2001,4,9,27.06,18.49,81.75,99.04,1.98,290,8.92
2001,4,10,27.92,18.62,78.94,99.08,1.88,300.06,1.92
2001,4,11,27.9,18.74,79.62,99.11,1.54,257.81,2.58
2001,4,12,26.81,18.8,84.31,98.99,1.33,228.56,7.98
2001,4,13,26.83,18.01,80.94,99.02,1.95,183.81,3.92
2001,4,14,26.93,18.49,82.75,99.27,2.61,196.19,42.64
2001,4,15,26.43,18.68,85.75,99.4,2.1,201.12,10.93
2001,4,16,26.64,18.07,82.12,99.28,1.82,251.12,0.92
2001,4,17,26.93,17.82,79.75,99.15,1.94,302.06,2.14
2001,4,18,27.14,16.78,74.12,99.06,2.07,305.5,2.07
2001,4,19,27.54,17.09,74,99.03,2.48,288.38,0.3
2001,4,20,28.22,17.33,72.56,98.95,2.32,304.25,0.01
2001,4,21,28.26,18.01,75,98.88,2.28,296.38,0.16
2001,4,22,27.71,18.55,79.06,98.88,1.95,279.31,3.09
2001,4,23,27.98,18.55,78.38,98.89,2.09,283.56,2.94
2001,4,24,28.44,18.62,76.81,98.97,1.79,216.44,32.86
2001,4,25,28.06,18.92,79.19,98.96,1.75,196.88,10.41
2001,4,26,28.69,18.37,74.69,98.95,2.06,283.38,0.07
2001,4,27,28.04,18.55,78,98.93,2.07,309,0.04
2001,4,28,27.86,18.68,78.94,98.89,1.73,283.94,0.06
2001,4,29,28.04,18.86,78.88,98.85,2.02,290.69,0.2
2001,4,30,28.48,19.29,78.75,98.97,2.2,289.62,0.93
2001,5,1,28.86,19.78,79.12,98.95,2.17,278.75,0.36
2001,5,2,28.67,19.35,78.06,98.84,2.01,278.75,0.17
2001,5,3,28.07,19.41,80.5,98.8,1.66,211,0.6
2001,5,4,28.37,19.96,81.62,98.92,1.75,232.31,0.77
2001,5,5,28.93,20.32,80.75,98.98,1.76,225.06,0.49
2001,5,6,29.02,20.02,79.25,98.93,1.92,226.12,0.29
2001,5,7,28.57,19.35,78.75,99,1.94,230.75,8.29
2001,5,8,27.93,19.47,81.81,98.98,2.25,259.69,3.8
2001,5,9,28.06,19.04,79.56,99,2.78,284.31,0.43
2001,5,10,28.46,18.8,76.94,99.02,3.3,304.94,0.22
2001,5,11,28.95,19.23,76.62,98.97,3.28,311.06,0.06
2001,5,12,28.96,19.29,76.81,98.96,3.23,300.94,0.02
2001,5,13,28.69,18.37,74.38,98.95,2.8,278.75,0.01
2001,5,14,28.91,17.88,71.88,98.93,3.09,294.75,0.01
2001,5,15,28.83,17.82,72.38,99,3.19,304.31,0.01
2001,5,16,28.36,18.37,75.94,99.06,3.25,314.69,0
2001,5,17,28.36,18.37,76.12,99.13,3.3,308.31,0.32
2001,5,18,28.08,18.37,77.06,99.11,2.59,295.31,0.57
2001,5,19,27.79,18.37,77.94,99.1,2.48,278.19,0.73
2001,5,20,26.69,17.82,80.56,99.03,2.21,225.44,2.3
2001,5,21,27,18.25,81,98.88,3.73,170.5,2.17
2001,5,22,27.35,19.23,83.25,98.79,6.09,170.31,28.04
2001,5,23,26.9,18.86,83.81,98.92,5.5,198.06,12.21
2001,5,24,26.73,18.68,83.88,98.93,3.98,202.31,20.72
2001,5,25,27.15,19.1,83.56,98.83,3.77,222.06,22
2001,5,26,26.06,17.88,83.44,98.97,3.61,197.81,7.79
2001,5,27,26.29,17.82,82.25,99,3.22,206.88,12.71
2001,5,28,26.62,18.43,83.56,98.97,3.87,219.19,33.79
2001,5,29,25.92,18.13,85.56,99,2.61,215.38,27.53
2001,5,30,26.15,18.31,85.25,98.98,2.96,272,40.22
2001,5,31,26.32,17.64,81.31,98.9,3.54,302.81,13.69
2001,6,1,26.46,17.46,79.81,98.88,3.5,293.88,0.48
2001,6,2,26.45,18.55,84.81,98.95,3.39,295.81,0.7
2001,6,3,26.54,18.55,84.44,98.94,3.06,308.12,1.39
2001,6,4,25.79,18.01,85.31,98.94,3.05,273.56,2.24
2001,6,5,25.69,18.13,86.38,98.85,3.97,273.06,72.92
2001,6,6,25.5,18.74,89.88,98.7,5.38,275.12,126.94
2001,6,7,24.66,17.64,89.06,98.71,4.92,260.75,94.01
2001,6,8,25.37,17.7,85.81,98.6,4.58,250.75,27.01
2001,6,9,26.15,18.8,87,98.66,3.75,236.44,23.09
2001,6,10,25.96,19.17,89.88,98.73,3.92,231.12,27.77
2001,6,11,25.25,18.43,89.94,98.7,5.3,245.06,72.6
2001,6,12,25.33,18.68,90.75,98.85,4.52,250.19,57.11
2001,6,13,25.57,18.98,91.06,99.03,3.48,235.06,39.98
2001,6,14,25.65,18.55,88.75,99.04,4.04,247.25,20.24
2001,6,15,26.08,19.59,91.25,99,4.07,248.31,29.24
2001,6,16,26.4,19.29,88.06,98.95,4.25,252.75,17.7
2001,6,17,26.21,19.04,88.06,98.91,4.59,255.69,13.69
2001,6,18,25.98,18.74,87.94,98.96,3.8,254.75,6.31
2001,6,19,26.07,19.04,88.88,99.07,4.16,260.5,28.97
2001,6,20,26.03,18.98,88.88,99.09,4.41,274.38,28.27
2001,6,21,26.11,19.04,88.75,99.1,4.48,268.81,29.41
2001,6,22,26.16,19.53,90.44,99.01,4.97,266.44,20.59
2001,6,23,26.17,19.17,88.75,98.94,5.04,272.94,6.78
2001,6,24,26.15,18.8,87.44,99,4.94,277.12,3.93
2001,6,25,26.07,18.98,88.62,99.06,5.09,290.44,10.88
2001,6,26,25.99,18.92,88.75,99.02,4.94,294.19,19.41
2001,6,27,25.94,19.04,89.62,99.03,4.46,290.25,103.01
2001,6,28,25.73,19.04,90.5,99.04,3.95,275.69,65.39
2001,6,29,25.58,19.23,92.19,98.94,4.47,274.69,40.08
2001,6,30,25.24,18.8,91.88,99.02,3.77,248.81,28.64
2001,7,1,25.37,18.68,90.88,99.12,2.82,248.75,22.18
2001,7,2,25.91,19.1,90.06,99.06,4.14,272,28.35
2001,7,3,26,19.17,89.62,98.95,4.62,260,50.73
2001,7,4,25.63,19.41,92.69,98.84,4.1,245.56,43.21
2001,7,5,25.77,19.41,92,98.8,4.44,248.31,40.77
2001,7,6,25.98,19.59,91.62,98.85,4.7,257.25,23.49
2001,7,7,25.9,19.41,91.25,98.83,5.48,263.69,34.67
2001,7,8,25.77,19.41,91.75,98.68,5.5,256.81,35.18
2001,7,9,25.84,19.1,90,98.71,5.14,257.06,16.72
2001,7,10,25.83,19.35,91.5,98.88,4.48,250.94,76.66
2001,7,11,25.38,19.17,92.94,98.92,3.47,241.38,51.53
2001,7,12,25.08,18.86,93.25,98.99,3.16,224.5,32.52
2001,7,13,24.53,18.13,92.62,99.13,3.87,248.88,57.16
2001,7,14,24.4,17.46,90.25,99.31,2.54,272.62,9.05
2001,7,15,24.39,17.52,90.75,99.3,2.67,303.44,13.98
2001,7,16,24.15,17.33,91.06,99.27,2.6,285.75,37.45
2001,7,17,24.55,17.76,91.06,99.25,2.95,261.75,32.1
2001,7,18,24.66,17.88,90.88,99.09,3.36,287.69,23.23
2001,7,19,25.18,18.43,90.5,98.98,4.1,284.44,22.22
2001,7,20,25.27,18.07,88.56,98.96,4.29,291.38,8.39
2001,7,21,25.01,17.7,88.06,98.92,3.45,280.5,2.04
2001,7,22,24.98,17.88,89.06,98.92,3.18,269.19,14.75
2001,7,23,25.22,18.37,90.06,98.9,3.32,267.31,23.87
2001,7,24,25.12,18.49,91.25,98.94,3.51,266.75,21.99
2001,7,25,24.61,18.49,94,98.94,3.2,278.69,19.48
2001,7,26,24.41,17.82,91.94,99.05,3.51,281.19,29.56
2001,7,27,24.26,18.01,93.5,98.97,3.48,279.12,35.25
2001,7,28,24.29,18.07,93.69,98.95,4.48,283.06,26.3
2001,7,29,23.99,17.82,94.25,99.07,4.77,274.5,30.23
2001,7,30,24.35,18.01,92.94,99.02,3.99,276.12,31.83
2001,7,31,24.31,17.7,91.81,99.06,3.52,274.5,30.98
2001,8,1,24.07,17.88,93.81,99.02,3.98,284.75,35.88
2001,8,2,24.04,18.01,94.81,98.85,4.38,286.75,49.62
2001,8,3,23.91,17.82,94.38,98.77,3.09,279.31,51.5
2001,8,4,24.32,18.19,94.06,98.96,3.49,263,33.32
2001,8,5,24.63,18.25,92.69,99.07,3.68,282.94,26.72
2001,8,6,24.76,18.25,91.81,98.95,3.92,281.19,10.11
2001,8,7,25.07,18.25,90.25,98.85,3.89,271.19,9.03
2001,8,8,25.04,18.25,90.56,98.97,3.71,278,8.19
2001,8,9,24.88,18.31,91.81,99.12,3.2,291.5,14.21
2001,8,10,24.91,18.43,92.25,99.04,3.05,288.75,16.98
2001,8,11,24.65,18.19,92.5,99,2.55,253.88,6.19
2001,8,12,24.9,18.19,91,99.03,2.75,244.81,0.72
2001,8,13,24.99,18.31,91.25,99.1,3.02,264.75,14.63
2001,8,14,25.14,18.74,92.5,99.23,2.89,269.06,13.06
2001,8,15,25.08,18.55,92.12,99.38,3.11,296.5,19.11
2001,8,16,25.13,18.8,93,99.27,2.5,293.06,36.66
2001,8,17,24.58,17.76,90.75,99.26,3.98,270.31,41.18
2001,8,18,24.57,17.7,90.38,99.17,4.37,256.38,41.84
2001,8,19,25.39,18.55,90.12,99.11,4.47,271.94,11.01
2001,8,20,25.25,18.31,89.75,99.1,3.89,277.12,3.25
2001,8,21,25.14,18.37,90.81,99.11,3.98,282.62,11.71
2001,8,22,25.33,18.55,90.44,98.97,4.36,287,6.23
2001,8,23,25.48,18.49,89.38,98.92,3.9,282.19,5
2001,8,24,25.02,18.19,90.19,99,4.2,283.75,34.66
2001,8,25,24.91,18.13,90.75,99.17,3.88,276.38,22.3
2001,8,26,24.94,18.25,91.44,99.16,3.98,302.69,18.42
2001,8,27,24.96,18.19,90.88,99.01,3.77,310.06,7.6
2001,8,28,24.72,17.82,90.31,99.01,3.9,299.62,5.25
2001,8,29,24.77,17.94,90.38,98.98,3.69,290.75,6.53
2001,8,30,25.01,18.01,89.62,98.94,3.95,303.81,7.14
2001,8,31,24.78,17.58,88.88,98.93,3.82,305.88,2.24
2001,9,1,24.65,17.4,88.69,98.96,3.49,298.19,0.16
2001,9,2,24.88,17.33,87.06,98.98,3.32,303.5,2.72
2001,9,3,25.15,17.27,85.5,99.1,2.87,303.19,1.26
2001,9,4,24.74,16.97,85.94,99.15,2.25,296.31,0.02
2001,9,5,24.84,17.21,86.69,99.15,2.5,270.75,0.03
2001,9,6,24.87,17.09,85.94,99.14,2.39,279.31,0.01
2001,9,7,24.95,17.21,86.44,99.22,2.4,288.69,0.01
2001,9,8,25.34,17.88,87.62,99.24,1.79,289.38,0.25
2001,9,9,25.21,18.01,88.81,99.15,2.47,295.5,0.4
2001,9,10,25.04,17.64,87.81,99.04,2.41,303.19,0.08
2001,9,11,25.18,17.46,86.31,99.02,2.77,311.88,0.13
2001,9,12,25.16,17.15,85,99.03,3.05,318.38,0.03
2001,9,13,25.42,17.4,84.69,98.94,2.8,310.88,0.19
2001,9,14,25.73,17.7,84.62,98.98,2.23,305.75,2.37
2001,9,15,25.99,18.07,85.31,99.04,2.67,317.75,1.52
2001,9,16,26.05,18.92,88.56,99,2.48,302.12,2.9
2001,9,17,25.39,17.94,87.44,99.03,2.01,274.38,2.29
2001,9,18,25.8,18.31,87.06,99,1.95,289.19,2.88
2001,9,19,25.61,18.31,88.06,99.02,1.76,238,1.54
2001,9,20,25.24,18.37,90,98.99,2.13,245.38,24.77
2001,9,21,25.23,18.01,88.44,99,1.97,267.56,9.87
2001,9,22,25.12,17.76,87.88,99.02,1.66,195.5,21.27
2001,9,23,25.26,18.25,89.44,99.05,2.48,227.69,12.82
2001,9,24,25.14,17.58,87,99.07,2.45,247.81,2.6
2001,9,25,25.08,17.58,87.25,98.99,2.6,259.69,3.01
2001,9,26,24.89,18.01,90,98.92,2.91,265.56,28.74
2001,9,27,25.41,18.68,90.56,98.88,3.03,272.38,24.22
2001,9,28,25.3,18.55,90.56,98.78,2.91,279.06,7.48
2001,9,29,25.62,18.8,89.81,98.59,2.54,199.94,14.25
2001,9,30,25.55,19.04,91.31,98.64,5.53,291.19,79.1
2001,10,1,25.75,18.68,88.81,98.88,3.92,286.06,29.33
2001,10,2,25.71,17.88,85.44,99.01,3.24,286.12,0.2
2001,10,3,25.32,17.33,84.81,99.02,2.59,296.38,0.08
2001,10,4,25.42,17.46,84.81,99.02,3.26,301.06,1.93
2001,10,5,25.2,17.58,86.5,98.97,3.59,299.81,10.91
2001,10,6,24.66,17.88,90.62,98.9,3.73,297.81,41.53
2001,10,7,24.91,18.62,92.88,98.86,4.56,281.56,48.83
2001,10,8,25.31,18.31,89.25,98.94,3.06,244.88,22.79
2001,10,9,25.35,17.46,85.19,99.09,2.47,220.5,3.48
2001,10,10,25.44,18.19,88.25,99.16,2.4,193.94,6.56
2001,10,11,25.83,18.68,88.69,99.22,2.48,234.06,8.03
2001,10,12,25.69,18.55,88.62,99.2,2.2,245.31,4.53
2001,10,13,25.82,18.13,86,99.12,1.66,227.25,2.11
2001,10,14,25.43,18.25,88.31,99.01,2,292.5,5.82
2001,10,15,25.65,17.88,85.81,99.03,1.67,282.31,9.09
2001,10,16,26.13,19.29,89.5,98.95,2.44,307.25,8.15
2001,10,17,24.81,17.52,88.12,98.88,1.89,291.56,3.99
2001,10,18,25.38,18.13,87.94,98.88,2.38,211.62,0.81
2001,10,19,26.19,18.25,84.75,99.17,2.2,199.31,0.72
2001,10,20,25.96,18.92,89,99.24,2.11,296.25,3.35
2001,10,21,27.33,19.23,84,99.01,1.63,225,2.76
2001,10,22,27.46,18.25,79,98.98,1.73,123.81,0.31
2001,10,23,26.43,15.26,70.81,99.08,1.75,158.44,0.03
2001,10,24,26.54,16.42,74.81,98.99,1.73,163.38,0.47
2001,10,25,25.69,18.8,89.38,98.91,2.12,276.56,3.02
2001,10,26,26.37,18.25,83.56,98.82,2.18,180,2.55
2001,10,27,25.44,17.21,83.25,98.89,1.7,122.06,2.87
2001,10,28,27.08,17.82,78.81,99.06,1.34,181.62,0.12
2001,10,29,26.35,15.2,71,99.06,1.61,180.06,0.07
2001,10,30,25.46,15.32,74.94,99.09,1.91,193.62,0
2001,10,31,26.01,16.85,79.69,99.17,1.81,224.75,0.07
2001,11,1,26.53,16.3,74.94,99.2,1.23,169.94,0.07
2001,11,2,25.94,17.03,80.56,99.28,1.92,181.31,1.1
2001,11,3,26.29,17.94,83.12,99.21,1.24,241,1.71
2001,11,4,26.29,17.03,79.06,99.15,0.9,137.44,2.12
2001,11,5,26.7,16.66,75.38,99.12,1.36,176.25,16.6
2001,11,6,26.51,18.25,83.06,99.06,1.23,204.75,14.17
2001,11,7,25.87,19.17,90.38,98.94,1.77,105.56,22.78
2001,11,8,26.63,18.13,82.19,98.93,1.79,190.62,2.94
2001,11,9,26.78,17.03,76.94,98.96,2.34,166.12,0.24
2001,11,10,26.55,16.54,75.69,98.9,1.98,169.38,0.07
2001,11,11,25.91,15.14,72,98.95,1.57,185.44,0.01
2001,11,12,26.08,15.2,71.38,98.99,1.3,165.69,0
2001,11,13,26.3,15.38,71.38,99.16,1.13,191.88,0.06
2001,11,14,26.28,16.78,77.69,99.25,1.46,238.69,1.1
2001,11,15,25.76,18.25,87.12,99.24,2.07,283.62,4.01
2001,11,16,25.52,18.49,89.19,99.26,1.86,258.25,13.31
2001,11,17,26.19,17.64,82.06,99.27,1.67,128.75,5.07
2001,11,18,26.88,17.64,79,99.3,0.95,115.19,6.26
2001,11,19,26.83,17.52,79,99.29,1.78,149.69,2.34
2001,11,20,26.42,15.62,72.62,99.34,1.8,70.44,0.08
2001,11,21,26.13,15.32,72.56,99.37,1.77,132.19,0
2001,11,22,26.42,16.3,75,99.32,1.68,174,0.93
2001,11,23,25.26,17.03,83.69,99.33,1.59,116.56,4.08
2001,11,24,25.59,16.36,79,99.3,1.58,123.12,0.36
2001,11,25,25.94,15.93,75.62,99.31,2.16,164.44,0.12
2001,11,26,25.71,15.93,76.44,99.26,1.83,152.62,0.03
2001,11,27,25.29,15.08,74.5,99.34,1.71,178.06,0.03
2001,11,28,25.6,14.89,72.19,99.22,1.42,156.44,0.03
2001,11,29,25.74,14.89,71.38,99.21,1.37,153.75,0.05
2001,11,30,25.86,13.73,66.06,99.28,1.84,71.31,0.02
2001,12,1,25.44,15.5,75.44,99.25,2.37,177.81,0.02
2001,12,2,25.98,16.72,78.94,99.24,1.32,189.5,0.21
2001,12,3,25.27,13.73,68.31,99.25,1.99,73.62,0.02
2001,12,4,24.84,13.12,67.06,99.24,1.78,115,0
2001,12,5,25.44,13.92,68.12,99.22,1.35,104.88,0
2001,12,6,24.83,11.9,60.62,99.29,1.8,99.31,0
2001,12,7,24.39,11.96,63.06,99.28,2.15,112.81,0
2001,12,8,24.06,11.96,63.88,99.36,1.41,111.94,0
2001,12,9,23.71,11.84,64.56,99.45,2.08,142.81,0
2001,12,10,23.65,11.41,62.62,99.52,1.51,124.62,0
2001,12,11,23.4,11.05,61.81,99.53,1.84,125.5,0
2001,12,12,23.76,11.47,63.06,99.58,2.2,76.19,0
2001,12,13,23.69,11.6,64.25,99.59,2.12,99,0
2001,12,14,24.12,12.08,64.94,99.61,2.23,141.62,0
2001,12,15,24.19,12.45,66.56,99.65,1.66,158.5,0
2001,12,16,24.69,12.15,62.94,99.5,1.93,107.88,0
2001,12,17,24.62,12.57,65.69,99.48,2.3,127.81,0.01
2001,12,18,26,15.2,72.19,99.46,2.48,60.81,0.07
2001,12,19,25.9,14.28,68.5,99.44,2.41,62.88,0.5
2001,12,20,24.5,12.45,65.19,99.43,3.55,68.25,0.02
2001,12,21,25.8,14.83,70.75,99.41,2.95,75.81,0.4
2001,12,22,26.55,15.44,71.19,99.45,2.27,101.38,0.26
2001,12,23,26.38,15.26,71,99.49,1.98,155.56,0.09
2001,12,24,26.65,15.56,71.25,99.46,1.58,147.06,0.07
2001,12,25,26.33,15.32,71.81,99.45,1.8,175.25,0.36
2001,12,26,26.73,15.32,70.25,99.51,1.48,161.38,0.2
2001,12,27,26.84,15.32,69.75,99.61,2.08,125.19,0.03
2001,12,28,26.19,13.98,66.44,99.63,2.66,101.5,0
2001,12,29,24.83,13.67,69.94,99.55,2.78,64.25,0
2001,12,30,25.69,14.4,70,99.52,2.03,149.31,0.01
2001,12,31,25.39,13.49,66.88,99.52,2.02,92.19,0.01
2002,1,1,25.89,13.31,64.94,99.47,2.23,136.31,0
2002,1,2,25.37,11.96,60.44,99.54,3.27,83.5,0
2002,1,3,25.49,11.47,57.88,99.48,2.36,145.62,0
2002,1,4,25.47,13.06,64.88,99.42,2.38,174.12,0
2002,1,5,25.75,13.85,67.38,99.34,2.2,173.19,0
2002,1,6,25.9,14.53,70.19,99.3,2.14,193.56,0
2002,1,7,26.27,14.83,70.31,99.33,2.27,203.38,0.01
2002,1,8,26.8,15.01,68.81,99.31,2.38,143.19,0
2002,1,9,26.92,15.26,68.88,99.37,2.04,155.25,0.02
2002,1,10,27.33,15.01,66.5,99.38,2.53,156.81,0.01
2002,1,11,27,13.31,60.81,99.33,2.52,170.31,0.03
2002,1,12,25.8,12.63,62.38,99.34,2.16,177.94,0.8
2002,1,13,25.22,10.13,52.38,99.22,1.89,150,0
2002,1,14,24.75,11.54,60.12,99.17,1.61,173.69,0
2002,1,15,24.83,12.57,64.75,99.29,1.59,205.5,0.06
2002,1,16,25.78,12.94,64.62,99.19,2.09,232.81,0
2002,1,17,25.79,14.47,70.38,99.15,2.6,313.38,0
2002,1,18,25.31,14.1,70.5,99.1,2.68,255.12,0.04
2002,1,19,25.12,13.79,69.75,99.19,2.84,241.75,0
2002,1,20,25.81,13.73,67.31,99.23,3.38,233.81,0
2002,1,21,26.43,14.28,67,99.18,3.11,253.31,0
2002,1,22,26.4,15.08,70.44,99.17,3.64,331.81,0
2002,1,23,27.21,15.56,69.88,99.21,2.99,322.69,0
2002,1,24,27.28,15.2,68.06,99.29,3.12,325.94,0
2002,1,25,26.56,13.24,62.56,99.25,3.09,264.69,0
2002,1,26,25.97,12.63,61.81,99.23,2.76,252,0
2002,1,27,25.15,12.7,64.88,99.21,3.61,243.25,0
2002,1,28,24.5,13.12,69.25,99.34,3.11,327.19,0
2002,1,29,24.42,13,68.94,99.4,2.98,318.44,0
2002,1,30,25.64,13.37,66.5,99.32,2.38,258.31,0
2002,1,31,26.78,12.15,57.88,99.35,2.24,198.75,0
2002,2,1,27.65,13.37,58.44,99.38,2.55,52.12,0.01
2002,2,2,27.3,13.61,60.62,99.42,2.87,86.44,0.01
2002,2,3,27.8,15.5,66.44,99.27,1.73,160.44,0.03
2002,2,4,26.86,15.81,71.38,99.27,1.14,206.62,0.2
2002,2,5,27.86,16.17,69.44,99.29,2.48,222.25,0.18
2002,2,6,27.35,16.72,73.12,99.28,2.27,213.44,0.4
2002,2,7,27.12,16.17,72.19,99.26,2.97,311.44,1.93
2002,2,8,27.26,15.56,69.25,99.21,3.43,327.25,2.02
2002,2,9,27.33,15.69,69.38,99.23,2.48,256.38,0.59
2002,2,10,27.41,14.83,66.06,99.2,2.47,198.44,0
2002,2,11,27.35,15.69,69.75,99.27,2.63,245.44,0.02
2002,2,12,28.07,14.95,64.5,99.29,2.88,234.25,0.01
